"TSP","C.loss_Ma1","N.loss_Ma1","C.loss_Mi1","N.loss_Mi1","C.loss_CG","N.loss_CG","Castanea.henryi","Nyssa.sinensis","Liquidambar.formosana","Quercus.fabri","Lithocarpus.glaber","Quercus.serrata","Castanopsis.sclerophylla","Choerospondias.axillaris","Sapium.sebiferum","Koelreuteria.bipinnata","Sapindus.mukorossi","Cyclobalanopsis.glauca","Shima.Superba","Castanopsis.Myl","Rhus","Quercus.ac","Alniphylium","Cast.faargesii"
"150-U15",49.1545936776216,51.4914719969497,44.8519532193567,45.8686271713588,50.1396543354305,38.3746820956522,0,0,0,2.8,0,18.56,0,0,0,0,0,0.22,41.38,0,0,0,0,0
"153-F27",48.1418211554055,62.3165467951969,40.8936272113869,48.9729315917729,41.8212258392332,47.4714979032479,0,0,0,0,0,1.69,2.32,72.84,2.02,0,0,0,0,0,0,0,0,0
"154-N20",56.0320511891041,73.9126651761847,73.6734375048262,72.0825684331272,38.2040998085776,43.6859027450939,0,0,0,0,0,0.33,8.49,52.37,5.41,0,0,0,0,0,0,0,0,0
"155-N20",40.356788494506,55.0372919690693,44.1718661190456,59.3736186166778,28.4129799579611,42.7712462193815,0,0,0,0,0,4.31,0.65,140.44,5.22,0,0,0,0,0,0,0,0,0
"156-N20",71.3351097248876,84.3848913313369,21.6255678952059,52.6810733790262,31.9182776611655,44.5354007928141,0,0,0,0,0,1.29,1.15,199.48,1.95,0,0,0,0,0,0,0,0,0
"159-P29",54.9929968082834,59.3649103800821,46.6042380081607,51.8842480462987,48.7036923412889,46.8347891630836,20.03,8.31,46.8,0,0,0,0,0,0,0,14.83,0,0,0,0,0,0,0
"16-R14",50.4389474756457,39.6000096862362,52.8568335818698,55.1972871324726,50.6464131146264,36.2047928145629,0,0,0,0,0,0,0,0,0,0,0,25.42,0,0,0,0,0,0
"160-P19",57.3339201170724,70.3286381065621,43.6301223780283,51.5370786408369,44.6303366689305,44.2780525443944,130.64,13.42,22.94,0,0,0,0,0,0,0,3.14,0,0,0,0,0,0,0
"161-F27",65.6134699306499,97.54490028957,50.1198074236564,88.993176303768,40.2285457818857,46.0916563741743,0,0,0,0,0,0.32,0,103.51,15.41,0,0,0,0,0,0,0,0,0
"162-F27",80.3092775598573,80.7600612592659,28.1729209911239,38.7248863877076,31.6708402407052,39.542937443581,0,0,0,0,0,0,0,85.43,4.8,0,0,0,0,0,0,0,0,0
"165-S10",71.9423897624178,80.3238029513574,54.2316799302352,72.109953107372,36.198604224052,41.2785237940445,35.66,5.29,24.91,0,0,0,0.47,77.01,0.63,0,1.25,0,0,0,0,0,0,0
"166-R16",61.2691357805127,80.072934939224,63.8197708936195,84.7648945561349,46.69501522851,54.977406364204,25.46,14.18,26.99,0,0,0,0,99.36,29.89,0,13.17,0,0,0,0,0,0,0
"170-S10",70.0299512039202,90.956636503334,41.8290844680854,70.5605567778422,34.3042894155198,47.9235952888522,8.91,3.78,3.76,0,0,0,2.29,92.2,0.83,0,8.82,0,0,0,0,1.25,0,0
"171-R16",60.9147299624252,85.694174853955,55.2980739269934,89.0226604101502,33.9688810046217,54.411450355769,22.12,1.07,9.09,0,0,0.16,1.19,32.62,0.5,0,19.73,0,0,0,0,0,0,0
"173-S10",74.8306633258936,87.0050690880733,31.3542147805641,60.2620090928248,31.8840772895142,51.8238459000536,4.11,7.51,27.93,0,0,0,4.47,172.39,4.65,0,13.68,0,0,0,0,0,0,0
"174-S10",79.6282525466578,82.2488619960662,35.8398645914562,45.5671564846358,31.6991609170666,47.2267545205439,9.33,13.24,26.69,0,0,0,0.09,169.21,0.48,0,3,0,0,0,0,0,0,0
"176-P27",40.5473551916016,39.2938020231297,36.9349039322243,38.9965855247065,40.9811377320328,38.893155576393,0,0,0,0.83,4.2,0,0,0,0,6.3,0,22.81,0,0,0,0,0,0
"178-S14",26.7396403130294,34.976906835123,36.6201650160834,35.1948669400059,45.6139524308669,44.6788916411225,0,0,0,0,0,0,0,0,0.54,0,0,22.64,71.58,0,0,0,0,0.36
"181-P27",60.3703618590916,62.1420816558614,48.6736550486653,57.8223209783849,40.3262575636684,45.9432342375031,0,0,0,0,2.5,0,0,17.94,0,19.17,0,0,0,0,0,0,0,0
"183-S15",52.7048912367406,42.6866504943323,44.8647445632865,36.961724963188,48.567989808955,24.8663688320235,0,0,0,0,0,0,0,0,0,0,0,0,53.19,0,0,0,0,0
"184-S15",50.6380962972287,60.8117573068857,51.6801021987068,56.3915898941794,54.2170509978019,59.3408793061667,0,0,0,16.88,0.84,0,0,0,0,0,0,0.19,0,0,0,0,0,0
