"TSP","C.loss_Ma1","N.loss_Ma1","C.loss_Mi1","N.loss_Mi1","C.loss_CG","N.loss_CG","Castanea.henryi","Nyssa.sinensis","Liquidambar.formosana","Quercus.fabri","Lithocarpus.glaber","Quercus.serrata","Castanopsis.sclerophylla","Choerospondias.axillaris","Sapium.sebiferum","Koelreuteria.bipinnata","Sapindus.mukorossi","Cyclobalanopsis.glauca","Shima.Superba","Castanopsis.Myl","Rhus","Quercus.ac","Alniphylium","Cast.faargesii"
"72-K3",49.1652968027523,49.9011903179174,44.7561343257554,52.5451138632849,44.6962897357987,49.4298816996457,0,0,0,1.37,0,0,0,0,0,0,0,8.48,0,0,0,0,0,0
"73-K3",54.6104318301841,63.5842179266351,68.9143636387327,62.6381122580519,47.4108134157988,45.4706086047536,0,0,0,0,0,0,0,0,0,0,0,10.53,0,0,0,0,0,0
"75-K3",55.5320001434937,62.0147332853672,54.0960187714644,55.4363023500512,50.8670855329573,50.9501086875567,0,0,0,0.97,0,0,0,0,0,0,0,2.37,0,0,0,0,0,0
"76-Q21",40.5500021188501,63.2087343270214,40.1392214790061,48.2905909575881,46.9954726196364,46.0482660570132,0,0,0,16.2,0,0,0,0,0,0,0,3.07,0,0,0,0,0,0
"77-Q21",55.5648259209792,68.317952829172,54.9652499157747,61.3377276173663,22.5961577608441,30.780225616407,0,0,0,12.21,0,0,0,0,0,0,0,7.61,0,0,0,0,0,0
"8-L11",53.0799550915909,52.5377369615459,46.609817517683,43.4894455591348,38.0352229775777,34.2322661687257,0,0,0,0,0,0,37.48,0,0,0,0,0,0,0,0,0,0,0
"81-J21",58.1024801655829,77.0109643368438,71.2814694474632,100,39.8176648203506,35.9692035195396,0,0,0,0,0,0,0,0,0,3.73,0,0,0,0,0,0,7.8,0
"82-J21",59.1888016216068,71.4724584934941,37.7587922749182,46.4696615590234,33.7117105029626,40.518640769205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.38,0
"84-Q7",57.1590981927518,48.1399447044589,42.7044283142343,31.5047218329332,46.0952744718664,36.6271649448254,0,0,0,0,9.05,0,0,0,0,18.39,0,0,0,0,0,0,0,0
"85-Q7",49.4259390897632,55.4816185798244,35.0951555058752,47.2567185165732,35.1462954077005,35.4102762665273,0,0,0,0,9.25,0,0,0,0,0,0,0,0,0,0,0,0,0
"86-H31",55.0436607876505,84.5748261858069,66.1412713164619,94.2555654395478,21.2157950655045,38.8630722691125,0,0,73.3,0,0,0,0,0,0,0,10.05,0,0,0,0,0,0,0
"87-H31",56.4152232553752,67.0695862729392,56.1382404191663,76.0819547519894,46.1915663057629,53.5017838231466,0,0,53.47,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0
"88-T17",70.3483208379429,71.657519132478,49.2198463126009,43.0144813234163,42.3791828429751,42.9531804412874,0,0,124.2,0,0,0,0,0,0,0,1.65,0,0,0,0,0,0,0
"88-T17",70.3483208379429,71.657519132478,49.2198463126009,43.0144813234163,42.3791828429751,42.9531804412874,0,0,124.2,0,0,0,0,0,0,0,1.65,0,0,0,0,0,0,0
"89-T17",52.5424289180021,61.7603357971035,43.2059268225714,56.3390203976894,42.400461844749,43.9051620591138,0,0,274.55,0,0,0,0,0,0,0,24.54,0,0,0,0,0,0,0
"9-L11",46.4493628098454,54.0474221163749,45.7642809027464,57.0639545480914,46.2251845332935,50.4836156081739,0,0,0,0,0,0,35.8,0,0,0,0,0,0,0,0,0,0,0
"90-T17",41.7132139820709,50.1450009694335,36.5951920085134,48.5545524608131,42.4786647934888,43.732868533024,0,0,162.85,0,0,0,0,0,0,0,19.2,0,0,0,0,0,0,0
"91-J21",40.0373259660837,54.9555194506122,32.2488362323836,41.7253897990481,39.5197319085426,43.0626031210971,0,0,0,0,7.65,0,0,0,0,7.53,0,0,0,0,0,0,0,0
"92-J21",40.4203210042761,60.1132117974746,44.5946071789222,92.6474273052003,55.372277565635,59.5007059885471,0,0,0,0,20.11,0,0,0,0,0,0,0,0,0,0,0,0,0
"93-Q7",43.6263643265086,44.5688858384073,39.9797426131686,33.6939796973207,35.3908604547838,36.8024186985408,0,0,0,0,8.59,0,0,0,0,0,0,0,0,0,0,0,0,0
"94-Q7",44.2801393525057,48.3990965528308,40.1814756249561,52.8306021561155,37.2592251187262,39.1363745697097,0,0,0,0,36.21,0,0,0,0,0,0,0,0,0,0,0,0,0
"96-C32",65.9607582905756,65.0853458806595,54.739511641401,48.967351917141,53.1432552428844,44.3584441249809,40.67,26.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97-C32",57.2378929164918,80.7876982338576,50.2731805448399,56.4270788138073,47.1473617536538,42.0390891789802,56.42,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98-F22",76.3569822974501,76.5295053033788,64.579980924362,71.8032270259786,44.7112759128646,31.4744028681959,105.78,77.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99-K3",44.5089089047822,60.7236828500557,44.103658690758,62.4832016020917,47.2334726504677,41.1603548132309,0,0,0,3.04,0,0,0,0,0,0,0,9.83,0,0,0,0,0,0
"r-21-Q13",65.2787940285135,70.703583903583,57.482503822906,60.2349840268655,45.2853754269461,38.404385218732,0.66,0,2.8,0,0,0,0,0,0,27.36,0,0,0,0,0,0,0,0
"r-91-J21",52.7512835752834,88.9109271565268,52.324264821823,75.2758148562973,42.9139911917178,49.8929667216225,0,0,0,0,25.91,0,0,0,0,0,0,0,0,0,0,0,0,0
"w-104-P26",43.489440030756,47.3985463590429,35.1205624519728,39.9124168789582,41.8451128397449,46.8513048834319,0,0,0,0,0,30.12,7.12,0,0,0,0,0,0,0,0,0,0,0
