"TSP","plot","spe.rich","species","litter.biomass","biomass","dist","n.rich","area","litter.biomass.area","SLA","LDMC","C","N","Mg","Ca","K","P","pca.1","pca.2","log.litter.biomass.area","log.biomass"
"51-C32","C32",2,"Castanea henryi",67.32,0.15356036596896,4.89442719099992,4,1.6,42.075,0.50791254932263,-0.00167941160389704,0.334468635894842,0.703781476059258,0.236752982450553,0.521789067706241,0.292139229058992,0.74905869187818,-0.947360432993595,0.153731488438931,3.73945374007687,-1.87366152562133
"51-C32","C32",2,"Nyssa sinensis",7.37,0.0159810148362105,3.91017472555947,4,1.6,4.60625,1.10109556537467,-1.40338799784382,-1.15488021058483,0.204251557375284,0.75266577104231,0.687526771958316,0.628959396020078,0.883951515220328,-2.41909315167755,-0.292474764937939,1.52741407695551,-4.13635383401401
"33-E31","E31",1,"Quercus fabri",68.53,0.0215044543402703,11.7394692220792,1,1.62,42.3024691358025,-0.738438825739332,1.14715192813507,0.449926709454173,1.59828840868515,-0.928186414543243,-0.465263767984,-0.780345498004569,0.415449137028261,0.938682072396357,1.26811772705297,3.74484545635344,-3.83949518668982
"1-E34","E34",1,"Castanea henryi",73.98,0.0771665852242061,11.7394692220792,1,1.4112,52.4234693877551,0.883608237672365,-0.138370537145459,0.49107698344906,0.336298490750708,0.594119979238731,0.361488071610243,0.358625140879585,0.474961618324842,-0.980056888521029,-0.0196920444460589,3.95935438013392,-2.56178874953437
"37-F21","F21",1,"Quercus serrata",87.08,0.0335499181155287,11.7394692220792,1,2.046,42.5610948191593,-0.439883207640177,1.07191729115334,0.473898868832077,0.504356493642712,-0.840832854735824,-0.710825836013027,-0.869304991091109,-0.652456124647231,1.63367584772783,0.773056009113896,3.75094056883691,-3.39472085623721
"37-F21","F21",1,"Quercus serrata",87.08,0.0335499181155287,11.7394692220792,1,2.071,42.0473201352004,-0.439883207640177,1.07191729115334,0.473898868832077,0.504356493642712,-0.840832854735824,-0.710825836013027,-0.869304991091109,-0.652456124647231,1.63367584772783,0.773056009113896,3.7387956539529,-3.39472085623721
"53-F22","F22",2,"Castanea henryi",65.81,0.025334982460923,7.91017472555947,3,1.3908,47.3180903077366,0.834056963232211,-0.279125968008989,0.151587172625217,1.00016990940063,0.0802093988063466,-0.0852848000264685,0.800080853688071,0.623171410143472,-1.25718272454582,0.907667126446252,3.85689268131646,-3.67556913234094
"53-F22","F22",2,"Nyssa sinensis",100.88,0.0533127909964804,3.16262782985305,3,1.3908,72.5337935001438,1.01930741880304,-1.39141743090913,-1.10830191991545,-0.100647003528136,0.158473487783777,-0.181185308116105,0.915266479080454,0.539873759792629,-1.79290608045924,0.419879880542949,4.28405257050509,-2.93157899542897
"54-F22","F22",2,"Castanea henryi",55.74,0.0732558001616573,4.89442719099992,3,1.456,38.282967032967,0.834056963232211,-0.279125968008989,0.151587172625217,1.00016990940063,0.0802093988063466,-0.0852848000264685,0.800080853688071,0.623171410143472,-1.25718272454582,0.907667126446252,3.64500507227931,-2.61379785112548
"54-F22","F22",2,"Nyssa sinensis",45.8,0.0373766832664578,2.4555210486665,3,1.456,31.456043956044,1.01930741880304,-1.39141743090913,-1.10830191991545,-0.100647003528136,0.158473487783777,-0.181185308116105,0.915266479080454,0.539873759792629,-1.79290608045924,0.419879880542949,3.44859114134564,-3.28670821105579
"55-F22","F22",2,"Castanea henryi",26.62,0.0109948600338715,4.9348673055198,2,1.407,18.9196872778962,0.834056963232211,-0.279125968008989,0.151587172625217,1.00016990940063,0.0802093988063466,-0.0852848000264685,0.800080853688071,0.623171410143472,-1.25718272454582,0.907667126446252,2.94020303483471,-4.51032738503629
"55-F22","F22",2,"Nyssa sinensis",104.16,0.114983879094323,6.80460191655939,2,1.407,74.0298507462687,1.01930741880304,-1.39141743090913,-1.10830191991545,-0.100647003528136,0.158473487783777,-0.181185308116105,0.915266479080454,0.539873759792629,-1.79290608045924,0.419879880542949,4.30446840032801,-2.16296334223377
"98-F22","F22",2,"Castanea henryi",105.78,0.0207966692088502,2.49596116318638,3,1.5812,66.8985580571718,0.834056963232211,-0.279125968008989,0.151587172625217,1.00016990940063,0.0802093988063466,-0.0852848000264685,0.800080853688071,0.623171410143472,-1.25718272454582,0.907667126446252,4.20317741319744,-3.87296243928761
"98-F22","F22",2,"Nyssa sinensis",77.82,0.0646954203838767,6.26820063885313,3,1.5812,49.2157854793827,1.01930741880304,-1.39141743090913,-1.10830191991545,-0.100647003528136,0.158473487783777,-0.181185308116105,0.915266479080454,0.539873759792629,-1.79290608045924,0.419879880542949,3.89621441511601,-2.73806486230077
"131-F27","F27",4,"Castanopsis sclerophylla",2.81,0.00436534705827285,4.04044011451988,4,1.445,1.94463667820069,-1.03978909038596,0.561105288788834,-0.154415491995941,-0.629879742175595,-1.41684436150863,-1.48652169098508,-0.759105875083503,-0.58618172574633,2.21006181808467,0.925117998916876,0.665075161781259,-5.43405758351041
"131-F27","F27",4,"Choerospondias axillaris",75.38,0.0459088554329328,3.41421356237309,4,1.445,52.1660899653979,0.0863460037549655,-0.338202530378754,0.834330867658126,-0.196972287583423,0.955892280987054,0.968677168272352,-0.72202019679664,0.374056485805697,-0.288915990022039,-1.28543242021846,3.95443266627459,-3.08109725170194
"131-F27","F27",4,"Sapium sebiferum",0.59,0.000479023916234718,1.78885438199983,4,1.445,0.408304498269896,1.00830897287315,-1.39840458674541,-1.78902926878138,1.17981944010534,0.884042622202145,1.56179871490195,0.810354533603612,1.56467585355201,-3.52691879179539,-0.380753285175378,-0.895742063646767,-7.64376003229099
