"TSP","plot","species","biomass","dist","db","n.rich"
"1-E34","E34","Castanea henryi",0.0771665852242061,11.7394692220792,0.00657326015038856,1
"10-G17","G17","Castanopsis sclerophylla",0.00564912068909652,11.7394692220792,0.000481207504549852,1
"100-Q21","Q21","Cyclobalanopsis glauca",0.0109144657506878,1.56109385766658,0.00699154999367049,2
"100-Q21","Q21","Quercus fabri",0.00407732121087942,4.89442719099992,0.000833053808293844,2
"101-Q21","Q21","Cyclobalanopsis glauca",0.00584410336649666,2.74754689570643,0.00212702588466432,2
"101-Q21","Q21","Quercus fabri",0.000141174160175821,4,3.52935400439552e-05,2
"102-P26","P26","Castanopsis sclerophylla",0.00342237239001662,2.9348673055198,0.00116610804978472,2
"102-P26","P26","Quercus serrata",0.00557540496378098,6.49596116318638,0.000858287915170685,2
"103-P26","P26","Castanopsis sclerophylla",0.00642528428086506,2.49596116318638,0.00257427253902559,2
"103-P26","P26","Quercus serrata",0.00327832266085407,6.97530742003968,0.000469989702738496,2
"105-O6","O6","Castanopsis sclerophylla",0.0903087742069789,6.13793524989272,0.0147132171536931,2
"105-O6","O6","Quercus serrata",0.00667072796390071,4,0.00166768199097518,2
"11-O27","O27","Choerospondias axillaris",0.147644921160624,11.7394692220792,0.0125767969886525,1
"112-H31","H31","Liquidambar formosana",0.002364243674591,1.60153397218646,0.00147623698007683,2
"112-H31","H31","Sapindus mukorossi",0.0190806880601226,10.1379352498927,0.00188210790361129,2
"113-H31","H31","Liquidambar formosana",0.0215512464281871,4.26820063885313,0.0050492580484637,2
"113-H31","H31","Sapindus mukorossi",0.0221416874742019,5.91017472555947,0.00374636766294686,2
"114-H31","H31","Liquidambar formosana",0.0136278416533954,6.13793524989272,0.00222026481195506,2
"114-H31","H31","Sapindus mukorossi",0.00862595595663078,5.60153397218646,0.00153992745549016,2
"115-T17","T17","Liquidambar formosana",0.101523361826722,3.68241420122622,0.0275697833755136,2
"115-T17","T17","Sapindus mukorossi",0.0108041266109991,7.16262782985305,0.00150840262368075,2
"116-I27","I27","Choerospondias axillaris",0.017229496588229,6.76416180203951,0.00254717392819226,2
"116-I27","I27","Sapium sebiferum",0.00113424393609013,4.97530742003968,0.000227974643641435,2
"117-I27","I27","Choerospondias axillaris",0.00586622651441962,4.97530742003968,0.00117906814979743,2
"117-I27","I27","Sapium sebiferum",0.0021077461712858,4.26820063885313,0.000493825466427031,2
"118-I27","I27","Choerospondias axillaris",0.0203806156103145,3.86973461103959,0.00526667011018601,2
"118-I27","I27","Sapium sebiferum",0.000849409554082072,7.86973461103959,0.000107933697394386,2
"119-S18","S18","Choerospondias axillaris",0.145914932914371,4.57684139222614,0.0318811425631245,2
"119-S18","S18","Sapium sebiferum",0.000551943052277657,4,0.000137985763069414,2
"12-O27","O27","Choerospondias axillaris",0.135037533806204,11.7394692220792,0.0115028653554651,1
"124-P29","P29","Castanea henryi",0.0274892393158227,2.89442719099992,0.00949729860239677,4
"124-P29","P29","Liquidambar formosana",0.00390164127602199,2.89442719099992,0.00134798390788822,4
"124-P29","P29","Nyssa sinensis",0.0200714032677028,1.4142135623731,0.0141926253585225,4
"124-P29","P29","Sapindus mukorossi",0.0481954014046008,3.86973461103959,0.012454446169799,4
"125-P19","P19","Castanea henryi",0.0104784966525417,4,0.00261962416313542,4
"125-P19","P19","Liquidambar formosana",0.00223015280593588,1.56109385766658,0.00142858342244031,4
"125-P19","P19","Nyssa sinensis",0.021473006698121,2.30864075337301,0.00930114686174022,4
"125-P19","P19","Sapindus mukorossi",0.000112588141888316,0.894427190999916,0.000125877369361333,4
"126-P19","P19","Castanea henryi",0,2.70710678118655,0,3
"126-P19","P19","Liquidambar formosana",0,1.60153397218646,0,3
"126-P19","P19","Nyssa sinensis",0,2,0,3
"13-L23","L23","Choerospondias axillaris",0.103015265225191,11.7394692220792,0.0087751211981069,1
"130-F27","F27","Castanopsis sclerophylla",0.00127812513325013,6.4555210486665,0.000197989461054293,4
"130-F27","F27","Choerospondias axillaris",0.081282229112567,0.707106781186547,0.114950430790909,4
"130-F27","F27","Quercus serrata",1.83541375582151e-05,0.894427190999916,2.05205496242755e-05,4
"130-F27","F27","Sapium sebiferum",0.000471749657082775,2.08088022903976,0.000226706780380372,4
"131-F27","F27","Castanopsis sclerophylla",0.00436534705827285,4.04044011451988,0.00108041375061726,3
"131-F27","F27","Choerospondias axillaris",0.0459088554329328,3.4142135623731,0.0134463924397931,3
"131-F27","F27","Sapium sebiferum",0.000479023916234718,1.78885438199983,0.000267782509887249,3
"132-N20","N20","Castanopsis sclerophylla",7.347299780696e-05,1.60153397218646,4.58766401980549e-05,4
"132-N20","N20","Choerospondias axillaris",0.10182981190346,4.70710678118655,0.0216332062638679,4
"132-N20","N20","Quercus serrata",0.000128197421949243,1.56109385766658,8.21202526162418e-05,4
"132-N20","N20","Sapium sebiferum",0.00327411023322554,3.16262782985305,0.0010352499280251,4
"133-N8","N8","Cyclobalanopsis glauca",0.00331461440036466,5.37377344785321,0.000616813200729336,3
"133-N8","N8","Quercus fabri",4.5185742323199e-06,1.56109385766658,2.89449235235219e-06,3
"133-N8","N8","Schima superba",0.0399719646536331,2.30864075337301,0.0173140687199741,3
"139-F28","F28","Cyclobalanopsis myrsinaefolia",0.000677462182634218,0.894427190999916,0.000757425746277745,3
"139-F28","F28","Koelreuteria bipinnata",0.000225515461002756,4,5.63788652506889e-05,3
"139-F28","F28","Lithocarpus glaber",0.0161495202330937,0.707106781186547,0.0228388705394598,3
